MR-ID,images-src,product_name,price,sold-status
"MR10082","http://www.metroretrofurniture.com/images/heywood/aaw66heywoodwakefieldsidetables01_t.jpg","2 Vintage Heywood Wakefield Wheat Step End Table M308G","795","SOLD"
"MR10926","http://www.metroretrofurniture.com/images/chair4/abk17roseofficechairs01_t.jpg","(6) Harter Office Chairs","895","null"
"MR10086","http://www.metroretrofurniture.com/images/coffeetable/aax04brassglasstable03_t.jpg","35"" Oval Italian Neoclassical Vintage Brass Coffee Table","1520","null"
"MR10155","http://www.metroretrofurniture.com/images/dining/aba75desk01_t.jpg","78"" Vintage Hans Eichenberger Omega Oak Desk Table","2500","null"
"MR10038","http://www.metroretrofurniture.com/images/ligne%20roset/aaz42lignetrosetcemiaentertainmentcenter04_t.jpg","77"" NEW Ligne Roset CEMIA TV Cabinet Sideboard SOLD","3400","SOLD"
"MR10972","http://www.metroretrofurniture.com/images/zographos/abm81glasscoffeetable01_t.jpg","35"" Square Zographos Solid Bronze Glass Low Coffee Table","2800","SOLD"
"MR10331","http://www.metroretrofurniture.com/images/chairIII/abe06bentwoodchairs06_t.jpg","Set of Eight (8) De Padova Vico Magistretti Cirene Side Stack Chairs SOLD","2400","SOLD"
"MR10041","http://www.metroretrofurniture.com/images/chairIII/aaz98zographos66sidechairs05_t.jpg","(1) Zographos Sixty-Six Stainless Steel Side Dining Chair","750","SOLD"
"MR10363","http://www.metroretrofurniture.com/images/knoll2/abf52greypollockchairs07_t.jpg","(1) Herman Miller Aeron Task Chair Size B Chrome Base","795","SOLD"
"MR10264","http://www.metroretrofurniture.com/images/cabinet/abb50danishteaksideboard02_t.jpg","70"" Vintage Danish Teak Cabinet Sideboard","695","SOLD"
"MR10754","http://www.metroretrofurniture.com/images/dresser/abk57vintagewoodchestmetalpulls02_t.jpg","31"" Vintage 4 Drawer Tall Dresser Chest of Drawers","595","SOLD"
"MR10889","http://www.metroretrofurniture.com/images/fabricswatches/cr1063fabric02_t.jpg","Light Tan Fabric Textile Upholstery","null","null"
"MR10577","http://www.metroretrofurniture.com/images/dining/abi09burketuliptablewhitetop01_t.jpg","3ft Mid Century Modern Burke Tulip Dining Table","795","SOLD"
"MR10418","http://www.metroretrofurniture.com/images/cabinet/abe60dresser01_t.jpg","59"" Mid Century Modern Danish Walnut Cabinet Dresser","1595","null"
"MR10126","http://www.metroretrofurniture.com/images/tables/aaz76bronzebaseglasstable01_t.jpg","Vintage X-Shaped Brass Barcelona Style Coffee Table","695","SOLD"
"MR10910","http://www.metroretrofurniture.com/images/knoll2/abm34knollcredenza03_t.jpg","Florence Knoll Rosewood Credenza with Travertine Top","6900","SOLD"
"MR10323","http://www.metroretrofurniture.com/images/chairIII/abe39threechairs06_t.jpg","(3) Bernhardt Guest Arm Chairs Mahogany Tapered Legs","995","SOLD"
"MR10684","http://www.metroretrofurniture.com/images/miscelaneous/abj89metaltable06_t.jpg","79"" Italian La Dolce Vita Table Desk by Mimmo Rotella","10500","SOLD"
"MR10718","http://www.metroretrofurniture.com/images/heywood/aar72heywoodwakefielddiningtable02_t.jpg","7ft Heywood Wakefield Drop Leaf Extension Dining Table with 2 Leaves","1995","null"
"MR10721","http://www.metroretrofurniture.com/images/conference/abk07hmroundconftable01_t.jpg","96""  Herman Miller Eames Round Conference Table","3900","SOLD"
"MR10515","http://www.metroretrofurniture.com/images/sofa/abh43upholsteredsofa06_t.jpg","Vintage Nicoletti Italia Sofa Couch","1900","null"
"MR10169","http://www.metroretrofurniture.com/images/loungeII/aaz99hmchadwickmodularsofa01_t.jpg","Vintage Herman Miller Don Chadwick Sofa","1290","null"
"MR10341","http://www.metroretrofurniture.com/images/cabinet/abf71walnutcredenza09_t.jpg","6ft Vintage Jasper Walnut Chrome Credenza Cabinet  SOLD","2500","SOLD"
"MR10566","http://www.metroretrofurniture.com/images/danishtables/aaz58diningtable02_t.jpg","Danish Niels O. Møller Extension Teak Dining Table","2900","SOLD"
"MR10185","http://www.metroretrofurniture.com/images/chairIII/abc41chair03_t.jpg","(1) 1957 Italian Cassina Gio Ponti Superleggera Chair SOLD","1900","SOLD"
"MR10202","http://www.metroretrofurniture.com/images/sofa/aba92wheat2cushionsofa02_t.jpg","74"" Vintage Knoll Style Settee Sofa","2320","null"
"MR10620","http://www.metroretrofurniture.com/images/bamboo/abj25bamboosofa06_t.jpg","Vintage Split Bamboo Sofa Couch on Casters","3600","null"
"MR10184","http://www.metroretrofurniture.com/images/hermanmillertable/aad57and58ebonizedhermanmillertablechairs03_t.jpg","Herman Miller George Nelson Expandable Dining Set Table and Six Chairs","9200","null"
"MR10644","http://www.metroretrofurniture.com/images/knoll2/abi90maxpearsonchair01_t.jpg","(1) Vintage Knoll Max Pearson Side Chair Tan","null","SOLD"
"MR10255","http://www.metroretrofurniture.com/images/sofa/abc50orangesofaandottomans03_t.jpg","12ft Adrian Pearsall Craft Associates Sectional Sofa","6860","null"
"MR10690","http://www.metroretrofurniture.com/images/hotel%20crillon/abj74whitelaminatevanitydeskwithbench03_t.jpg","Elias Svedberg for Nordiska Kompaniet Dressing Table Vanity & Bench from HOTEL CRILLON","1995","SOLD"
"MR10957","http://www.metroretrofurniture.com/images/hermanmiller3/hermanmillersidearmshellchaireiffetowerbasered06_t.jpg","Herman Miller Eames Red Fabric Fiberglass Shell Armchair","595","null"
"MR10852","http://www.metroretrofurniture.com/images/danishchair/abm04danishplywoodchairs01_t.jpg","(12) Mid Century Arne Jacobsen Series 7 Chairs for Fritz Hansen","6300","SOLD"
"MR10592","http://www.metroretrofurniture.com/images/chair4/abi40blackvinylsetofchairs03_t.jpg","(8) Comfort Folding Stakmore Wood Dining Side Chairs","399","SOLD"
"MR10454","http://www.metroretrofurniture.com/images/knoll2/aae82loungechair02_t.jpg","(2) Mid Century Modern Tobia Scarpa Bastiano Chairs ~ Newly Restored","4400","null"
"MR10035","http://www.metroretrofurniture.com/images/rugs/aaq88redgoldrug02_t.jpg","6ft x 8ft Tuscan Arezzo Hand Knotted Wool Rug 70% OFF","1195","null"
"MR10949","http://www.metroretrofurniture.com/images/hermanmiller2/aan42hermanmillerarmshellchairburntorangeeiffeltowerbase05_t.jpg","Herman Miller Eames Fabric Fiberglass Shell Armchair Orange","595","null"
"MR10162","http://www.metroretrofurniture.com/images/newarrivals/platnerdeskcredenza03_t.jpg","Vintage Lehigh Leopold Platner Desk","null","SOLD"
"MR10214","http://www.metroretrofurniture.com/images/dining/aba98rustvelorarmchairs04_t.jpg","(4) Thonet Organic Style Mid Century Modern Chair","4000","SOLD"
"MR10722","http://www.metroretrofurniture.com/images/saarinen/abj97purplesaarenenchairs01_1_t.jpg","Saarinen Style Side Chair Lavender SOLD","349","SOLD"
"MR10895","http://www.metroretrofurniture.com/images/heywood/abm26hwdresserandmirror03_t.jpg","Heywood Wakefield Trophy Suite Mr. and Mrs. Dresser and Mirror SOLD","1995","SOLD"
"MR10151","http://www.metroretrofurniture.com/images/stools/aba28blackvinylchromebarstools03_t.jpg","(2) Tubular Chrome Counter Bar Stools","395","SOLD"
"MR10040","http://www.metroretrofurniture.com/images/ligne%20roset/aaz46lignerosetglassvases02_t.jpg","(2) Ligne Roset Hand Blown Vase Glass FREE SHIPPING & 25% DISCOUNT","195","null"
"MR10969","http://www.metroretrofurniture.com/images/rugs/aam62redbluerug03_t.jpg","2Ft x 3 Ft Turkish Rug","595","null"
"MR10128","http://www.metroretrofurniture.com/images/sofa/aaz81greysofaandchair03_t.jpg","86"" Brayton Mid Century Modern Sofa","1595","null"
"MR10668","http://www.metroretrofurniture.com/images/hermanmiller2/abi42rarecoralhmshellsidechair05_t.jpg","(2) Rare Coral Herman Miller Fiberglass Shell Chairs","1400","SOLD"
"MR10930","http://www.metroretrofurniture.com/images/credenza/abm30stainlesssteelcredenza06_t.jpg","1970s Oak Mirrored Credenza by Xception","4900","null"
